# ra_deg|dec_deg|mag|bv|bayer|proper_name|constellation
40.3922|-14.5493|5.98|0.429|||
40.5275|-38.3837|5.99|0.917|||
40.5621|40.1939|4.91|0.582|||Per
40.5914|20.0115|5.74|-0.017|μ|Koleon|Ari
40.6394|-50.8003|5.40|0.561|ι||Hor
40.7480|53.5261|5.85|1.125|||
40.7618|55.1060|5.76|-0.110|||Per
40.8252|3.2358|3.47|0.093|γ|Kaffaljidhma|Cet
40.8630|27.7071|4.65|-0.122|||Ari
41.0215|44.2970|5.43|0.904|||Per
41.0306|-13.8587|4.24|-0.122|π||Cet
41.0499|49.2284|4.10|0.514|θ||Per
41.1374|15.3119|5.78|-0.024|ο||Ari
41.2071|67.8246|5.95|0.136|||
41.2356|10.1141|4.27|0.311|μ||Cet
41.2399|12.4458|5.17|0.234|||Ari
41.2758|-18.5726|4.47|0.481|τ1||Eri
41.3645|-63.7046|5.73|0.932|γ||Hor
41.3860|-67.6166|4.83|0.058|ζ||Hyi
41.9488|81.4485|5.80|1.300|||
41.9773|29.2471|4.52|1.112||Lilii Borea|Ari
42.1337|18.2838|5.83|1.216|||Ari
42.1913|25.1881|5.89|-0.033|VZ||Ari
42.2562|-62.8065|5.25|0.101|ν||Hor
42.2726|-32.4059|4.45|0.981|β||For
42.3232|17.4643|5.26|-0.066|π|Al Butain|Ari
42.4758|-27.9420|5.39|0.013|γ2||For
42.4960|27.2605|3.61|-0.100|c|Bharani|Ari
42.5616|-35.8436|5.92|0.899|η2||For
42.6186|-75.0669|4.76|1.337|ν||Hyi
42.6461|38.3186|4.22|0.343|||Per
42.6684|-35.6758|5.48|1.259|η3||For
42.6742|55.8955|3.77|1.690|η|Miram|Per
42.7597|-21.0040|4.76|0.906|τ2|Angetenar|Eri
42.8733|15.0821|5.52|-0.099|σ||Ari
42.8785|35.0597|4.56|1.554|||Per
42.9239|46.8419|5.86|0.903|||
42.9948|68.8885|5.94|0.700|SU||Cas
43.3933|-38.4370|5.93|0.437|ψ||For
43.3972|-22.3763|5.93|1.041|||
43.4276|38.3375|5.34|0.423|||Per
43.5644|52.7625|3.93|0.758|τ||Per
43.9521|18.3316|5.76|1.452|||Ari
43.9872|61.5211|5.59|0.445|HD 17948||
44.0574|8.3816|5.97|0.478|||
44.1069|-8.8981|3.89|1.088|η|Azha|Eri
44.1090|18.0231|5.58|0.471|ρ||Ari
44.1559|-3.7123|5.16|0.084|||
44.3220|31.9342|5.10|-0.007|||Per
44.3490|-23.8622|5.44|0.238|||Eri
44.5218|20.6687|5.80|0.415|||Ari
44.5239|-23.6060|5.82|1.334|||Eri
44.5653|-40.3047|2.88|0.128|θ1|Acamar|Eri
44.6753|-2.7829|5.22|0.014|||
44.6903|39.6627|4.68|0.065|π|Gorgonea Secunda|Per
44.6992|-64.0713|4.98|0.126|β||Hor
44.7653|35.1831|4.94|1.235|||Per
44.8030|21.3404|4.63|0.048|ε||Ari
44.9008|-25.2741|5.69|0.427|ζ||For
44.9162|41.0329|5.89|1.445|||
44.9215|-2.4650|5.56|-0.072|||Eri
44.9288|8.9074|4.71|-0.109|λ|Menkar|Cet
44.9575|47.2207|5.47|0.869|||
45.1839|10.8704|5.93|1.593|||
45.2176|52.3517|5.24|-0.049|||
45.2918|-7.6630|5.75|1.043|ρ1|Aludhi|Eri
45.4068|-28.0916|5.88|0.794|ε||For
45.4756|26.4624|5.91|0.141|||Ari
45.4838|-9.9614|5.84|1.092|||
45.5644|-71.9025|5.51|-0.125|θ||Hyi
45.5699|4.0897|2.54|1.630|α|Menkar|Cet
45.5938|4.3529|5.62|-0.107|||Cet
45.5979|-23.6245|4.08|0.163|τ3||Eri
45.6761|-7.6855|5.32|0.941|ρ2||Eri
45.7328|-46.9750|5.81|1.304|||
45.9034|-59.7378|5.12|0.349|μ||Hor
46.0688|-7.6009|5.26|0.193|ρ3||Eri
46.1991|53.5064|2.91|0.716|γ||Per
46.2941|38.8403|3.32|1.528|ρ|Gorgonea Tertia|Per
46.3612|25.2552|5.45|-0.031|||Ari
46.3850|56.7057|4.77|1.018|k||Per
46.5327|79.4185|5.49|1.569|||
46.5987|13.1873|5.64|1.087|||
46.6396|-6.0886|5.23|1.575|||
46.8292|64.0576|5.89|-0.020|||
46.8839|-78.9892|5.67|0.298|BN||Hyi
47.0422|40.9556|2.09|-0.003|β|Algol|Per
47.2667|49.6133|4.05|0.595|ι||Per
47.3740|44.8575|3.79|0.980|κ|Misam|Per
47.4031|29.0771|5.74|0.115|||Ari
47.6616|11.8726|5.97|-0.061|||
47.8224|39.6116|4.61|1.115|ω|Gorgonea Quarta|Per
47.9074|19.7267|4.35|1.033|δ|Botein|Ari
47.9278|81.4707|5.92|0.149|||
47.9845|74.3937|4.85|0.035|||
48.0189|-28.9876|3.80|0.543|α|Dalim|For
48.0594|27.2570|5.78|-0.106|||Ari
48.1073|-44.4197|5.92|0.440|||
48.1099|6.6609|5.55|1.011|EL||Cet
48.1382|-57.3215|5.71|2.419|TW||Hor
48.1935|-1.1961|5.07|0.575|||Cet
48.3495|48.1770|5.93|0.972|||
